TimestampUTC,Symbol,Direction,ConfidenceScore,EntryPrice,StopLossPrice,PositionSize,ActualRiskUSD,CalculatedTPs,BOSLevel15m,FVGLow15m,FVGHigh15m,FibLevels15mTouched,EntryTrigger5m,TickSize,EntryFillPrice,ExitPrice,PnLUSD,FeesUSD,TradeDurationSeconds,ExitReason,SLOrderID,TPOrderID
2025-05-07T07:00:00+00:00,ETHUSDT,bullish,3,1831.62,1825.596745,0.16,0.9637207999999737,N/A,nan,1831.03,1832.0,N/A,FVG_MITIGATION,0.01,None,None,None,None,None,None,None,None
2025-05-03T18:30:00+00:00,SOLUSDT,bearish,3,146.73,147.51371999999998,1.2000000000000002,0.940463999999986,N/A,nan,146.79,146.96,N/A,FVG_MITIGATION,0.01,None,None,None,None,None,None,None,None
2025-05-03T23:50:00+00:00,SOLUSDT,bearish,3,146.77,147.843885,0.9,0.966496499999991,N/A,nan,146.96,146.98,['0.786'],FVG_MITIGATION,0.01,None,None,None,None,None,None,None,None
2025-05-04T02:30:00+00:00,SOLUSDT,bearish,3,146.53,147.77384999999998,0.8,0.9950799999999845,N/A,nan,146.45,147.01,N/A,FVG_MITIGATION,0.01,None,None,None,None,None,None,None,None
2025-05-04T14:20:00+00:00,SOLUSDT,bullish,3,146.1,144.877525,0.8,0.9779800000000023,N/A,146.07,145.96,146.09,N/A,FVG_MITIGATION,0.01,None,None,None,None,None,None,None,None
2025-05-04T19:00:00+00:00,SOLUSDT,bearish,3,146.27,147.623775,0.7000000000000001,0.9476424999999893,N/A,nan,146.41,146.57,N/A,FVG_MITIGATION,0.01,None,None,None,None,None,None,None,None
2025-05-04T22:20:00+00:00,SOLUSDT,bearish,3,146.16,147.223575,0.9,0.9572175000000129,N/A,nan,146.12,146.27,N/A,FVG_MITIGATION,0.01,None,None,None,None,None,None,None,None
2025-05-04T22:30:00+00:00,SOLUSDT,bearish,3,145.33,147.223575,0.5,0.9467874999999992,N/A,nan,145.34,145.95,['0.5'],FVG_MITIGATION,0.01,None,None,None,None,None,None,None,None
2025-05-05T04:15:00+00:00,SOLUSDT,bullish,3,145.73,145.22463,1.9000000000000001,0.9602029999999986,N/A,145.45,145.41,145.8,['0.5'],FVG_MITIGATION,0.01,None,None,None,None,None,None,None,None
2025-05-06T22:00:00+00:00,SOLUSDT,bullish,3,145.81,143.44824000000003,0.4,0.9447039999999902,N/A,145.27,144.64,145.7,['0.618'],FVG_MITIGATION,0.01,None,None,None,None,None,None,None,None
2025-05-07T14:45:00+00:00,SOLUSDT,bearish,3,146.59,147.623775,0.9,0.9303974999999923,N/A,nan,146.23,147.03,['0.5'],FVG_MITIGATION,0.01,None,None,None,None,None,None,None,None
2025-05-08T00:55:00+00:00,SOLUSDT,bullish,3,148.83,146.996465,0.5,0.916767500000006,N/A,148.3,147.63,148.66,N/A,FVG_MITIGATION,0.01,None,None,None,None,None,None,None,None
